# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CCDC83	CCDC83	NM_001286159.1	protein_coding	0	6	2	207	1	0	1	0	0	0	0	11	0	190	2	0	0	0	0	5	0	0	0	0	1	9
CCDC83	CCDC83	NM_173556.4	protein_coding	0	6	2	207	1	0	1	0	0	0	0	11	0	190	2	0	0	0	0	5	0	0	0	0	1	9
CCDC84	CCDC84.2	NM_198489.3	protein_coding	0	1	0	108	0	0	0	0	0	0	0	30	0	58	0	0	0	0	0	0	0	0	0	0	1	20
CCDC84	CCDC84.2	NR_104049.2.2		0	0	0	109	0	0	0	0	0	0	0	30	0	58	0	1	0	0	0	0	0	0	0	0	0	20
CCDC84	CCDC84.2	NR_104050.2		0	0	0	109	0	0	0	0	0	0	0	30	0	58	0	1	0	0	0	0	0	0	0	0	0	20
CCDC84	CCDC84.2	NR_104051.2		0	0	0	109	0	0	0	0	0	0	0	30	0	57	0	2	0	0	0	0	0	0	0	0	0	20
CCDC85B	CCDC85B	NM_006848.3	protein_coding	0	0	0	36	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	22
CCDC86	CCDC86	NM_024098.4	protein_coding	0	2	2	65	6	0	0	0	0	0	0	19	0	24	2	0	0	0	0	0	0	0	0	0	2	16
CCDC87	CCDC87	NM_018219.3	protein_coding	0	1	4	8	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	1	4
CCDC88B	CCDC88B	NM_032251.6	protein_coding	0	5	7	73	5	0	1	0	0	0	0	15	0	41	7	0	0	0	0	1	0	0	0	0	4	12
CCDC89	CCDC89	NM_152723.3	protein_coding	0	0	2	30	3	0	1	0	0	0	0	12	0	0	2	0	0	0	0	0	0	0	0	0	0	14
CCDC90B	CCDC90B	NM_001286116.1	protein_coding	0	1	0	107	7	0	0	0	0	0	0	17	0	73	0	0	0	0	0	0	0	0	0	0	1	10
CCDC90B	CCDC90B	NM_001286117.1	protein_coding	0	2	0	107	7	1	2	0	0	0	0	17	0	71	0	0	0	0	0	0	0	0	0	0	1	10
CCDC90B	CCDC90B	NM_001286118.1	protein_coding	0	2	0	107	7	1	2	0	0	0	0	17	0	71	0	0	0	0	0	0	0	0	0	0	1	10
CCDC90B	CCDC90B	NM_001286119.1	protein_coding	0	2	0	107	7	1	2	0	0	0	0	17	0	71	0	0	0	0	0	0	0	0	0	0	1	10
CCDC90B	CCDC90B	NM_001286120.1	protein_coding	0	2	0	107	7	1	2	0	0	0	0	17	0	71	0	0	0	0	0	0	0	0	0	0	1	10
CCDC90B	CCDC90B	NM_021825.4	protein_coding	0	1	1	106	7	0	1	0	0	0	0	17	0	71	1	0	0	0	0	0	0	0	0	0	1	10
CCKBR	CCKBR	NM_001318029.2	protein_coding	0	0	0	81	7	0	1	0	0	0	0	8	0	60	0	0	0	0	0	0	0	0	0	0	0	5
CCKBR	CCKBR	NM_001363552.2	protein_coding	0	1	1	79	7	0	1	0	0	0	0	8	0	58	1	0	0	0	0	0	0	0	0	0	1	5
CCKBR	CCKBR	NM_176875.4	protein_coding	0	0	1	80	7	0	1	0	0	0	0	8	0	59	1	0	0	0	0	0	0	0	0	0	0	5
CCND1	CCND1	NM_053056.3	protein_coding	0	1	0	30	5	0	0	0	0	0	0	1	0	15	0	0	0	0	0	1	0	0	0	0	1	9
CCS	CCS	NM_005125.2	protein_coding	0	1	0	27	0	0	0	0	0	0	0	4	0	16	0	0	0	0	0	0	0	0	0	0	1	7
CD151	CD151	NM_001039490.1	protein_coding	0	1	0	98	8	0	0	0	0	0	0	36	0	39	0	0	0	0	0	0	0	0	0	0	1	15
CD151	CD151	NM_004357.5	protein_coding	0	1	0	98	8	0	0	0	0	0	0	36	0	39	0	0	0	0	0	0	0	0	0	0	1	15
CD151	CD151	NM_139029.1	protein_coding	0	1	0	98	8	0	0	0	0	0	0	36	0	39	0	0	0	0	0	0	0	0	0	0	1	15
CD151	CD151	NM_139030.3	protein_coding	0	1	0	98	8	0	0	0	0	0	0	36	0	39	0	0	0	0	0	0	0	0	0	0	1	15
CD248	CD248	NM_020404.3	protein_coding	0	1	2	29	0	0	0	0	0	0	0	17	0	0	2	0	0	0	0	0	0	0	0	0	1	12
CD3D	CD3D	NM_000732.4	protein_coding	0	0	1	32	0	0	0	0	0	0	0	7	0	14	1	0	0	0	0	0	0	0	0	0	0	11
CD3D	CD3D	NM_001040651.2	protein_coding	0	0	1	32	0	0	0	0	0	0	0	7	0	14	1	0	0	0	0	0	0	0	0	0	0	11
CD3E	CD3E	NM_000733.4	protein_coding	0	2	0	66	3	0	0	0	0	0	0	10	0	32	0	0	0	0	0	0	0	0	0	0	2	21
CD3G	CD3G	NM_000073.2	protein_coding	0	1	1	55	0	0	1	0	0	0	0	12	0	23	1	0	0	0	0	0	0	0	0	0	1	19
CD44	CD44	NM_000610.4	protein_coding	0	2	2	267	6	0	0	0	0	0	0	14	0	241	2	0	0	0	0	0	0	0	0	0	2	6
CD44	CD44	NM_001001389.2	protein_coding	0	2	2	267	6	0	0	0	0	0	0	14	0	241	2	0	0	0	0	0	0	0	0	0	2	6
CD44	CD44	NM_001001390.2	protein_coding	0	1	1	269	6	0	0	0	0	0	0	14	0	243	1	0	0	0	0	0	0	0	0	0	1	6
CD44	CD44	NM_001001391.2	protein_coding	0	1	0	270	6	0	0	0	0	0	0	14	0	244	0	0	0	0	0	0	0	0	0	0	1	6
CD44	CD44	NM_001001392.2	protein_coding	0	0	0	271	6	0	0	0	0	0	0	14	0	245	0	0	0	0	0	0	0	0	0	0	0	6
CD44	CD44	NM_001202555.2	protein_coding	0	1	0	270	6	0	0	0	0	0	0	14	0	244	0	0	0	0	0	0	0	0	0	0	1	6
CD44	CD44	NM_001202556.2	protein_coding	0	1	0	270	6	0	0	0	0	0	0	14	0	244	0	0	0	0	0	0	0	0	0	0	1	6
CD44	CD44	NM_001202557.2	protein_coding	0	1	0	249	4	0	0	0	0	0	0	14	0	225	0	0	0	0	0	0	0	0	0	0	1	6
CD5	CD5	NM_001346456.1	protein_coding	0	4	5	113	3	2	5	0	0	0	0	20	0	71	5	0	0	0	0	1	0	0	0	0	1	15
CD5	CD5	NM_014207.4	protein_coding	0	2	5	85	3	0	0	0	0	0	0	20	0	54	5	0	0	0	0	1	0	0	0	0	1	9
CD59	CD59	NM_000611.5	protein_coding	0	1	0	110	19	1	1	0	0	0	0	15	0	62	0	0	0	0	0	0	0	0	0	0	0	13
CD59	CD59	NM_001127223.1	protein_coding	0	0	0	78	19	0	0	0	0	0	0	15	0	32	0	0	0	0	0	0	0	0	0	0	0	12
CD59	CD59	NM_001127225.1	protein_coding	0	0	0	78	19	0	0	0	0	0	0	15	0	32	0	0	0	0	0	0	0	0	0	0	0	12
CD59	CD59	NM_001127226.1	protein_coding	0	0	0	78	19	0	0	0	0	0	0	15	0	32	0	0	0	0	0	0	0	0	0	0	0	12
CD59	CD59	NM_001127227.1	protein_coding	0	0	0	78	19	0	0	0	0	0	0	15	0	32	0	0	0	0	0	0	0	0	0	0	0	12
CD59	CD59	NM_203329.2	protein_coding	0	1	0	110	19	1	1	0	0	0	0	15	0	62	0	0	0	0	0	0	0	0	0	0	0	13
CD59	CD59	NM_203330.2	protein_coding	0	1	0	110	19	1	1	0	0	0	0	15	0	62	0	0	0	0	0	0	0	0	0	0	0	13
CD59	CD59	NM_203331.2	protein_coding	0	1	0	110	19	1	1	0	0	0	0	15	0	62	0	0	0	0	0	0	0	0	0	0	0	13
CD6	CD6	NM_001254750.2	protein_coding	0	4	6	218	1	0	0	0	0	0	0	21	0	180	6	0	0	0	0	0	0	0	0	0	4	16
CD6	CD6	NM_001254751.2	protein_coding	0	4	6	218	1	0	0	0	0	0	0	21	0	180	6	0	0	0	0	0	0	0	0	0	4	16
CD6	CD6	NM_006725.5	protein_coding	0	5	6	217	1	0	0	0	0	0	0	21	0	179	6	0	0	0	0	0	0	0	0	0	5	16
CD6	CD6	NR_045638.2		0	0	0	228	0	0	0	0	0	0	0	21	0	180	0	11	0	0	0	0	0	0	0	0	0	16
CD81	CD81	NM_001297649.1	protein_coding	0	2	1	74	2	0	1	0	0	0	0	12	0	46	1	0	0	0	0	0	0	0	0	0	2	13
CD81	CD81	NM_004356.3	protein_coding	0	3	1	70	2	0	0	0	0	0	0	12	0	46	1	0	0	0	0	1	0	0	0	0	2	11
CD81-AS1	CD81-AS1	NR_108080.1		0	0	0	226	0	0	0	0	0	0	0	22	0	187	0	4	0	0	0	0	0	0	0	0	0	13
CD82	CD82	NM_001024844.2	protein_coding	0	5	1	225	4	0	0	0	0	0	0	18	0	200	1	0	0	0	0	1	0	0	0	0	4	4
CD82	CD82	NM_002231.4	protein_coding	0	5	1	225	4	0	0	0	0	0	0	18	0	200	1	0	0	0	0	1	0	0	0	0	4	4
CDC42BPG	CDC42BPG	NM_017525.3	protein_coding	0	7	7	77	3	0	0	0	0	0	0	6	0	55	7	0	0	0	0	1	0	0	0	0	6	14
CDC42EP2	CDC42EP2	NM_006779.4	protein_coding	0	0	0	22	2	0	0	0	0	0	0	6	0	4	0	0	0	0	0	0	0	0	0	0	0	10
CDCA5	CDCA5	NM_080668.4	protein_coding	0	0	0	40	7	0	1	0	0	0	0	13	0	9	0	0	0	0	0	0	0	0	0	0	0	10
CDHR5	CDHR5.2	NM_001171968.2	protein_coding	0	11	7	55	5	0	0	0	0	0	0	24	0	20	7	0	0	0	0	2	0	0	0	0	9	8
CDHR5	CDHR5.2	NM_021924.5.2	protein_coding	0	11	7	55	5	0	0	0	0	0	0	24	0	20	7	0	0	0	0	2	0	0	0	0	9	8
CDHR5	CDHR5.2	NM_031264.4.2	protein_coding	0	10	6	57	5	0	0	0	0	0	0	24	0	22	6	0	0	0	0	2	0	0	0	0	8	8
CDK2AP2	CDK2AP2	NM_001271849.2	protein_coding	0	0	0	18	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	11
CDK2AP2	CDK2AP2	NM_005851.5	protein_coding	0	0	0	18	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	11
CDK2AP2	CDK2AP2	NR_073484.2		0	0	0	18	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	11
CDKN1C	CDKN1C	NM_000076.2	protein_coding	0	0	0	25	1	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0	0	0	10
CDKN1C	CDKN1C	NM_001122630.2	protein_coding	0	0	0	25	1	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0	0	0	10
CDKN1C	CDKN1C	NM_001122631.2	protein_coding	0	0	0	25	1	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0	0	0	10
CDKN1C	CDKN1C	NM_001362474.2.2	protein_coding	0	0	0	25	1	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0	0	0	10
CDKN1C	CDKN1C	NM_001362475.2	protein_coding	0	0	0	25	1	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0	0	0	10
CDON	CDON	NM_001243597.1	protein_coding	0	7	5	372	12	0	0	0	0	0	0	18	0	330	5	0	0	0	0	0	0	0	0	0	7	12
CDON	CDON	NM_016952.4	protein_coding	0	7	5	372	12	0	0	0	0	0	0	18	0	330	5	0	0	0	0	0	0	0	0	0	7	12
CELF1	CELF1	NM_001025596.2	protein_coding	0	0	0	49	4	0	0	0	0	0	0	8	0	31	0	0	0	0	0	0	0	0	0	0	0	6
CELF1	CELF1	NM_001172639.1	protein_coding	0	0	1	115	5	0	1	0	0	0	0	8	0	93	1	0	0	0	0	0	0	0	0	0	0	8
CELF1	CELF1	NM_001172640.1	protein_coding	0	0	0	49	7	0	0	0	0	0	0	8	0	28	0	0	0	0	0	0	0	0	0	0	0	6
CELF1	CELF1	NM_001330272.2	protein_coding	0	0	1	116	7	0	1	0	0	0	0	8	0	92	1	0	0	0	0	0	0	0	0	0	0	8
CELF1	CELF1	NM_006560.4	protein_coding	0	0	0	172	4	0	0	0	0	0	0	8	0	151	0	0	0	0	0	0	0	0	0	0	0	9
CELF1	CELF1	NM_198700.2	protein_coding	0	0	0	59	4	0	1	0	0	0	0	8	0	37	0	0	0	0	0	0	0	0	0	0	0	9
CEND1	CEND1	NM_016564.4	protein_coding	0	0	1	27	3	0	0	0	0	0	0	13	0	3	1	0	0	0	0	0	0	0	0	0	0	8
CEP126	CEP126	NM_001363543.2	protein_coding	0	2	6	165	7	0	2	1	0	0	0	9	0	139	5	0	0	0	0	0	0	0	0	0	2	8
CEP126	CEP126	NM_020802.4	protein_coding	0	2	6	165	7	0	2	1	0	0	0	9	0	139	5	0	0	0	0	0	0	0	0	0	2	8
CEP164	CEP164	NM_001271933.1	protein_coding	1	7	8	244	8	0	1	0	0	0	0	15	1	207	8	0	0	0	0	3	0	0	0	0	5	15
CEP164	CEP164	NM_014956.5	protein_coding	1	7	8	222	8	0	0	0	0	0	0	15	1	195	8	0	0	0	0	3	0	0	0	0	5	6
CEP295	CEP295	NM_033395.2	protein_coding	1	4	6	180	0	0	0	0	0	0	0	10	0	153	6	0	0	0	0	3	0	1	0	0	4	17
CEP57	CEP57	NM_001243776.1	protein_coding	0	3	1	131	4	0	1	0	0	0	0	11	0	98	1	0	0	0	0	1	0	0	0	0	2	18
CEP57	CEP57	NM_001243777.1	protein_coding	0	1	1	133	4	0	1	0	0	0	0	11	0	99	1	0	0	0	0	0	0	0	0	0	1	18
CEP57	CEP57	NM_001363604.1	protein_coding	0	1	1	133	4	0	1	0	0	0	0	11	0	99	1	0	0	0	0	0	0	0	0	0	1	18
CEP57	CEP57	NM_014679.5	protein_coding	0	1	1	133	4	0	1	0	0	0	0	11	0	99	1	0	0	0	0	0	0	0	0	0	1	18
CFAP300	CFAP300	NM_001195005.2	protein_coding	0	0	0	72	0	0	0	0	0	0	0	11	0	57	0	0	0	0	0	0	0	0	0	0	0	4
CFAP300	CFAP300	NM_001363505.1	protein_coding	0	0	0	97	7	0	0	0	0	0	0	13	0	73	0	0	0	0	0	0	0	0	0	0	0	4
CFAP300	CFAP300	NM_032930.3	protein_coding	0	0	0	97	7	0	0	0	0	0	0	13	0	73	0	0	0	0	0	0	0	0	0	0	0	4
CFL1	CFL1	NM_005507.3	protein_coding	0	2	0	31	1	0	0	0	0	0	0	10	0	9	0	0	0	0	0	0	0	0	0	0	2	11
CHEK1	CHEK1	NM_001114121.2	protein_coding	0	1	1	148	2	0	7	0	0	0	0	14	0	111	1	0	0	0	0	0	0	0	0	0	1	14
CHEK1	CHEK1	NM_001114122.2	protein_coding	0	1	1	105	1	0	7	0	0	0	0	9	0	74	1	0	0	0	0	0	0	0	0	0	1	14
CHEK1	CHEK1	NM_001244846.1	protein_coding	0	1	1	105	1	0	7	0	0	0	0	9	0	74	1	0	0	0	0	0	0	0	0	0	1	14
CHEK1	CHEK1	NM_001274.5	protein_coding	0	1	1	101	1	0	2	0	0	0	0	9	0	72	1	0	0	0	0	0	0	0	0	0	1	17
CHEK1	CHEK1	NM_001330427.1	protein_coding	0	1	3	146	2	0	0	0	0	0	0	14	0	111	3	0	0	0	0	0	0	0	0	0	1	19
CHEK1	CHEK1	NM_001330428.1	protein_coding	0	1	1	101	1	0	2	0	0	0	0	9	0	72	1	0	0	0	0	0	0	0	0	0	1	17
CHEK1	CHEK1	NR_045204.1		0	0	0	107	0	0	0	0	0	0	0	9	0	74	0	10	0	0	0	0	0	0	0	0	0	14
CHEK1	CHEK1	NR_045205.1		0	0	0	103	0	0	0	0	0	0	0	9	0	72	0	5	0	0	0	0	0	0	0	0	0	17
CHID1	CHID1	NM_001142674.2	protein_coding	0	1	2	166	3	0	0	0	0	0	0	27	0	133	2	0	0	0	0	1	0	0	0	0	0	4
CHID1	CHID1	NM_001142675.1	protein_coding	0	1	2	172	3	0	0	0	0	0	0	27	0	135	2	0	0	0	0	1	0	0	0	0	0	8
CHID1	CHID1	NM_001142676.2	protein_coding	0	1	2	166	3	0	0	0	0	0	0	27	0	133	2	0	0	0	0	1	0	0	0	0	0	4
CHID1	CHID1	NM_001142677.2	protein_coding	0	1	2	166	3	0	0	0	0	0	0	27	0	133	2	0	0	0	0	1	0	0	0	0	0	4
CHID1	CHID1	NM_023947.4	protein_coding	0	1	2	166	3	0	0	0	0	0	0	27	0	133	2	0	0	0	0	1	0	0	0	0	0	4
CHKA	CHKA	NM_001277.3	protein_coding	0	0	0	121	3	0	0	0	0	0	0	12	0	100	0	0	0	0	0	0	0	0	0	0	0	6
CHKA	CHKA	NM_212469.1	protein_coding	0	0	0	121	3	0	0	0	0	0	0	12	0	100	0	0	0	0	0	0	0	0	0	0	0	6
CHORDC1	CHORDC1	NM_001144073.1	protein_coding	0	2	1	118	5	1	3	0	0	0	0	16	0	80	1	0	0	0	0	1	0	0	0	0	0	15
CHORDC1	CHORDC1	NM_012124.3	protein_coding	0	2	1	117	5	1	2	0	0	0	0	16	0	80	1	0	0	0	0	1	0	0	0	0	0	15
CHRDL2	CHRDL2	NM_001278473.3	protein_coding	0	7	1	135	0	2	2	0	0	0	0	22	0	97	1	0	0	0	0	0	0	0	0	0	5	14
CHRDL2	CHRDL2	NM_001304390.1	protein_coding	0	6	1	100	0	1	5	0	0	0	0	22	0	61	1	0	0	0	0	0	0	0	0	0	5	12
CHRDL2	CHRDL2	NM_001304391.1	protein_coding	0	6	1	100	0	1	5	0	0	0	0	22	0	61	1	0	0	0	0	0	0	0	0	0	5	12
CHRDL2	CHRDL2	NM_001304415.1	protein_coding	0	6	1	100	0	1	5	0	0	0	0	22	0	61	1	0	0	0	0	0	0	0	0	0	5	12
CHRDL2	CHRDL2	NM_001304416.1	protein_coding	0	6	1	100	0	1	5	0	0	0	0	22	0	61	1	0	0	0	0	0	0	0	0	0	5	12
CHRDL2	CHRDL2	NM_001304417.1	protein_coding	0	5	1	75	0	0	0	0	0	0	0	22	0	42	1	0	0	0	0	0	0	0	0	0	5	11
CHRDL2	CHRDL2	NM_015424.6	protein_coding	0	7	1	135	0	2	2	0	0	0	0	22	0	97	1	0	0	0	0	0	0	0	0	0	5	14
CHRM1	CHRM1	NM_000738.3	protein_coding	0	5	1	33	3	0	0	0	0	0	0	9	0	17	1	0	0	0	0	0	0	0	0	0	5	4
CHRM4	CHRM4	NM_000741.5	protein_coding	0	1	0	14	1	0	0	0	0	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0	1	1
CHRM4	CHRM4	NM_001366692.1	protein_coding	0	1	0	14	1	0	0	0	0	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0	1	1
CHRNA10	CHRNA10	NM_001303034.1	protein_coding	0	0	2	43	1	0	1	0	0	0	0	15	0	20	2	0	0	0	0	0	0	0	0	0	0	6
CHRNA10	CHRNA10	NM_001303035.1	protein_coding	0	0	2	43	1	0	1	0	0	0	0	15	0	20	2	0	0	0	0	0	0	0	0	0	0	6
CHRNA10	CHRNA10	NM_020402.4	protein_coding	0	0	3	42	1	0	0	0	0	0	0	15	0	20	3	0	0	0	0	0	0	0	0	0	0	6
CHST1	CHST1	NM_003654.6	protein_coding	0	1	0	97	10	0	0	0	0	0	0	22	0	49	0	0	0	0	0	0	0	0	0	0	1	16
CKAP5	CKAP5	NM_001008938.4	protein_coding	0	3	2	222	2	0	0	0	0	0	0	12	0	200	2	0	0	0	0	0	0	0	0	0	3	8
CKAP5	CKAP5	NM_014756.3	protein_coding	0	3	2	221	1	0	0	0	0	0	0	12	0	200	2	0	0	0	0	0	0	0	0	0	3	8
CLCF1	CLCF1	NM_001166212.2	protein_coding	0	0	0	36	0	0	0	0	0	0	0	5	0	27	0	0	0	0	0	0	0	0	0	0	0	4
CLCF1	CLCF1	NM_013246.3	protein_coding	0	0	0	35	0	0	0	0	0	0	0	5	0	23	0	0	0	0	0	0	0	0	0	0	0	7
CLDN25	CLDN25	NM_001101389.1	protein_coding	0	0	0	19	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	7
CLMP	CLMP	NM_024769.5	protein_coding	0	2	1	395	7	0	4	0	0	0	0	14	0	357	1	0	0	0	0	0	0	0	0	0	2	13
CLNS1A	CLNS1A	NM_001293.3	protein_coding	0	2	0	48	0	0	0	0	0	0	0	11	0	33	0	0	0	0	0	1	0	0	0	0	1	5
CLNS1A	CLNS1A	NM_001311199.1	protein_coding	0	2	0	37	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	1	0	0	0	0	1	5
CLNS1A	CLNS1A	NM_001311200.2	protein_coding	0	2	0	48	0	0	0	0	0	0	0	11	0	33	0	0	0	0	0	1	0	0	0	0	1	5
CLNS1A	CLNS1A	NM_001311201.2	protein_coding	0	2	0	48	0	0	0	0	0	0	0	11	0	33	0	0	0	0	0	1	0	0	0	0	1	5
CLNS1A	CLNS1A	NM_001311202.2	protein_coding	0	1	0	49	0	0	0	0	0	0	0	11	0	34	0	0	0	0	0	1	0	0	0	0	0	5
CLP1	CLP1	NM_001142597.1	protein_coding	0	0	0	30	0	0	0	0	0	0	0	18	0	4	0	0	0	0	0	0	0	0	0	0	0	8
CLP1	CLP1	NM_006831.3	protein_coding	0	0	0	30	0	0	0	0	0	0	0	18	0	4	0	0	0	0	0	0	0	0	0	0	0	8
CLPB	CLPB	NM_001258392.3	protein_coding	0	0	2	192	7	0	0	0	0	0	0	5	0	174	2	0	0	0	0	0	0	0	0	0	0	6
CLPB	CLPB	NM_001258393.3	protein_coding	0	0	2	192	7	0	0	0	0	0	0	5	0	174	2	0	0	0	0	0	0	0	0	0	0	6
CLPB	CLPB	NM_001258394.2	protein_coding	0	0	2	186	2	0	1	0	0	0	0	4	0	174	2	0	0	0	0	0	0	0	0	0	0	5
CLPB	CLPB	NM_030813.6	protein_coding	0	0	2	192	7	0	0	0	0	0	0	5	0	174	2	0	0	0	0	0	0	0	0	0	0	6
CNGA4	CNGA4	NM_001037329.4	protein_coding	0	2	2	26	0	0	0	0	0	0	0	8	0	6	2	0	0	0	0	0	0	0	0	0	2	12
CNIH2	CNIH2	NM_182553.3	protein_coding	0	2	0	31	1	0	0	0	0	0	0	8	0	12	0	0	0	0	0	1	0	0	0	0	1	11
CNIH2	CNIH2	NR_073078.2		0	1	0	32	0	0	0	0	0	0	0	8	0	12	0	2	0	0	0	1	0	0	0	0	0	11
CNIH2	CNIH2	NR_073079.2		0	1	0	32	0	0	0	0	0	0	0	8	0	12	0	2	0	0	0	1	0	0	0	0	0	11
CNTF	CNTF	NM_000614.4	protein_coding	0	1	0	20	1	0	0	0	0	0	0	8	0	2	0	0	0	0	0	1	0	0	0	0	0	10
CNTN5	CNTN5	NM_001243270.2	protein_coding	1	1	6	4185	8	0	0	0	0	0	0	9	0	4152	6	0	0	0	0	0	0	1	0	0	1	16
CNTN5	CNTN5	NM_001243271.2	protein_coding	1	1	5	4080	0	0	1	0	0	0	0	19	0	4044	5	0	0	0	0	0	0	1	0	0	1	16
CNTN5	CNTN5	NM_014361.4	protein_coding	1	1	6	4185	8	0	1	0	0	0	0	9	0	4151	6	0	0	0	0	0	0	1	0	0	1	16
CNTN5	CNTN5	NM_175566.2	protein_coding	0	0	3	2441	8	0	0	0	0	0	0	9	0	2415	3	0	0	0	0	0	0	0	0	0	0	9
COA4	COA4	NM_016565.3	protein_coding	0	0	0	29	0	0	0	0	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	0	12
COLCA1	COLCA1	NM_001302644.1	protein_coding	0	1	0	55	8	0	7	0	0	0	0	7	0	20	0	0	0	0	0	0	0	0	0	0	1	13
COLCA1	COLCA1	NM_001302645.1	protein_coding	0	1	0	42	8	0	7	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	0	1	17
COLCA1	COLCA1	NM_001302646.1	protein_coding	0	1	0	41	8	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	19
COLCA1	COLCA1	NM_001302647.1	protein_coding	0	1	0	42	8	0	8	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	1	17
COLCA1	COLCA1	NM_001302648.1	protein_coding	0	1	0	42	8	0	8	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	1	17
COLCA1	COLCA1	NM_207429.3	protein_coding	0	1	0	42	8	0	9	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	18
COLCA2	COLCA2	NM_001136105.2	protein_coding	0	1	0	63	2	0	0	0	0	0	0	20	0	26	0	0	0	0	0	0	0	0	0	0	1	15
COLCA2	COLCA2	NM_001271457.1	protein_coding	0	1	0	64	2	0	0	0	0	0	0	20	0	26	0	0	0	0	0	0	0	0	0	0	1	16
COLCA2	COLCA2	NM_001271458.1	protein_coding	0	1	0	64	2	0	0	0	0	0	0	20	0	26	0	0	0	0	0	0	0	0	0	0	1	16
COLCA2	COLCA2	NM_001370484.1	protein_coding	1	1	0	61	2	0	2	0	0	0	0	20	0	24	0	0	0	0	1	0	0	0	0	0	1	14
COMMD9	COMMD9	NM_001101653.2	protein_coding	0	0	0	79	6	0	0	0	0	0	0	17	0	40	0	0	0	0	0	0	0	0	0	0	0	16
COMMD9	COMMD9	NM_001307932.2	protein_coding	0	0	0	79	6	0	0	0	0	0	0	17	0	40	0	0	0	0	0	0	0	0	0	0	0	16
COMMD9	COMMD9	NM_001307937.2	protein_coding	0	0	0	79	6	0	0	0	0	0	0	17	0	40	0	0	0	0	0	0	0	0	0	0	0	16
COMMD9	COMMD9	NM_014186.4	protein_coding	0	0	0	79	6	0	0	0	0	0	0	17	0	40	0	0	0	0	0	0	0	0	0	0	0	16
COPB1	COPB1	NM_001144061.1	protein_coding	0	2	2	134	0	0	1	0	0	0	0	7	0	122	2	0	0	0	0	2	0	0	0	0	0	6
COPB1	COPB1	NM_001144062.1	protein_coding	0	2	2	134	0	0	1	0	0	0	0	7	0	122	2	0	0	0	0	2	0	0	0	0	0	6
COPB1	COPB1	NM_016451.4	protein_coding	0	2	2	134	0	0	1	0	0	0	0	7	0	122	2	0	0	0	0	2	0	0	0	0	0	6
CORO1B	CORO1B	NM_001018070.2	protein_coding	0	1	0	34	0	0	0	0	0	0	0	18	0	9	0	0	0	0	0	1	0	0	0	0	0	8
CORO1B	CORO1B	NM_020441.3	protein_coding	0	1	0	38	7	0	0	0	0	0	0	16	0	9	0	0	0	0	0	1	0	0	0	0	0	7
COX8A	COX8A	NM_004074.3	protein_coding	0	0	0	25	1	0	0	0	0	0	0	12	0	3	0	0	0	0	0	0	0	0	0	0	0	9
CPSF7	CPSF7	NM_001136040.3	protein_coding	0	1	0	52	3	0	0	0	0	0	0	12	0	28	0	0	0	0	0	0	0	0	0	0	1	9
CPSF7	CPSF7	NM_001142565.2	protein_coding	0	1	0	52	3	0	0	0	0	0	0	12	0	28	0	0	0	0	0	0	0	0	0	0	1	9
